,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
59,0.0058000000000000005,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
60,0.0059,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
61,0.006,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
62,0.0061,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
63,0.006200000000000001,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
64,0.0063,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
65,0.0064,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
66,0.006500000000000001,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
67,0.0066,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
68,0.0067,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
69,0.0068000000000000005,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
70,0.006900000000000001,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
71,0.007,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
72,0.0071,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
73,0.007200000000000001,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
74,0.0073,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
75,0.0074,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
76,0.007500000000000001,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
77,0.0076,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
78,0.0077,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
79,0.0078000000000000005,0.02145922746781116,1.0,0.04201680672268908,0,231,0,4,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,2,2,48,2,1.0,0.9090909090909091,0.9523809523809523,0,0,48,0,1.0,1.0,1.0,8,13,48,2,1.0,1.0,1.0,11,10,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,1,3,48,2,1.0,1.0,1.0,2,0,48,2,1.0,1.0,1.0,7,4,48,2,0.012875536480686695,1.0,0.02542372881355932,0,232,0,4,0.0,0.0,0.0,0,0,0,0,0.017167381974248927,1.0,0.03375527426160338,0,231,0,4,1.0,1.0,1.0,4,1,48,2,1.0,1.0,1.0,1,0,48,2,1.0,1.0,1.0,3,0,48,2,1.0,1.0,1.0,2,3,48,2,1.0,1.0,1.0,2,2,48,2,1.0,1.0,1.0,7,6,48,2,1.0,1.0,1.0,5,5,48,2,1.0,1.0,1.0,2,1,48,2,1.0,1.0,1.0,7,2,48,2,1.0,1.0,1.0,0,0,48,0,1.0,1.0,1.0,1,2,48,2,0.1228813559322034,0.18641999226111375,0.1228813559322034
